trial,graph_type,graph_size,method,repair_budget,avg_conflicts,avg_recolors,avg_colors_used,avg_latency,total_repairs
1,ER,50,GNN (no repair),0.0,260.2,0.1,1.1,52.257513999938965,0
1,ER,50,GNN + Repair(3),3.0,209.0,2.6,3.0,42.217230796813965,30
1,ER,50,GNN + Repair(5),5.0,181.2,3.0,3.2,34.760212898254395,50
1,ER,50,Greedy,,0.0,18.0,4.7,0.07083415985107422,0
1,ER,50,DSATUR,,0.0,19.6,4.1,1.2746334075927734,0
1,ER,100,GNN (no repair),0.0,498.4,0.4,1.1,164.2580509185791,0
1,ER,100,GNN + Repair(3),3.0,441.0,2.8,2.5,39.71419334411621,30
1,ER,100,GNN + Repair(5),5.0,406.8,3.2,2.8,41.34418964385986,50
1,ER,100,Greedy,,0.0,48.8,4.7,0.13539791107177734,0
1,ER,100,DSATUR,,0.0,50.4,4.1,4.9118757247924805,0
1,ER,200,GNN (no repair),0.0,1112.0,1.3,1.8,85.66603660583496,0
1,ER,200,GNN + Repair(3),3.0,1040.4,3.3,2.8,42.42753982543945,30
1,ER,200,GNN + Repair(5),5.0,999.0,4.4,2.9,43.89643669128418,50
1,ER,200,Greedy,,0.0,100.2,5.0,0.2630472183227539,0
1,ER,200,DSATUR,,0.0,115.4,4.1,20.374679565429688,0
1,BA,50,GNN (no repair),0.0,239.8,0.7,1.3,56.95233345031738,0
1,BA,50,GNN + Repair(3),3.0,171.8,2.0,3.0,39.92598056793213,30
1,BA,50,GNN + Repair(5),5.0,143.8,2.7,3.2,54.50475215911865,50
1,BA,50,Greedy,,0.0,23.2,4.7,0.07278919219970703,0
1,BA,50,DSATUR,,0.0,26.3,4.0,1.2820243835449219,0
1,BA,100,GNN (no repair),0.0,472.8,1.5,1.5,58.66653919219971,0
1,BA,100,GNN + Repair(3),3.0,389.8,2.8,3.5,34.085798263549805,30
1,BA,100,GNN + Repair(5),5.0,348.2,3.4,3.7,33.08839797973633,49
1,BA,100,Greedy,,0.0,28.6,4.9,0.1270294189453125,0
1,BA,100,DSATUR,,0.0,36.7,4.0,5.085539817810059,0
1,BA,200,GNN (no repair),0.0,890.2,3.1,2.0,72.85964488983154,0
1,BA,200,GNN + Repair(3),3.0,805.4,5.0,3.6,46.30262851715088,30
1,BA,200,GNN + Repair(5),5.0,761.4,5.5,4.0,51.781511306762695,49
1,BA,200,Greedy,,0.0,65.6,5.0,0.2503395080566406,0
1,BA,200,DSATUR,,0.0,73.2,4.2,20.6326961517334,0
1,WS,50,GNN (no repair),0.0,196.8,0.0,1.0,127.45444774627684,0
1,WS,50,GNN + Repair(3),3.0,161.6,3.3,2.6,28.43770980834961,30
1,WS,50,GNN + Repair(5),5.0,142.0,4.6,2.9,24.045205116271973,50
1,WS,50,Greedy,,0.0,25.9,4.1,0.05867481231689453,0
1,WS,50,DSATUR,,0.0,24.8,3.7,1.181960105895996,0
1,WS,100,GNN (no repair),0.0,407.2,0.0,1.0,68.71864795684814,0
1,WS,100,GNN + Repair(3),3.0,366.8,2.2,2.6,36.53078079223633,30
1,WS,100,GNN + Repair(5),5.0,343.2,4.2,3.0,34.86511707305908,50
1,WS,100,Greedy,,0.0,45.7,4.1,0.11532306671142578,0
1,WS,100,DSATUR,,0.0,54.5,3.9,4.572081565856934,0
1,WS,200,GNN (no repair),0.0,828.6,0.0,1.0,82.76972770690918,0
1,WS,200,GNN + Repair(3),3.0,780.8,2.4,2.2,38.95270824432373,30
1,WS,200,GNN + Repair(5),5.0,754.2,4.2,2.6,37.8232479095459,50
1,WS,200,Greedy,,0.0,90.3,4.5,0.23317337036132812,0
1,WS,200,DSATUR,,0.0,106.4,4.0,18.119382858276367,0
2,ER,50,GNN (no repair),0.0,255.0,0.4,1.1,39.722490310668945,0
2,ER,50,GNN + Repair(3),3.0,200.8,3.0,3.0,32.76722431182861,30
